horizon,series,n_windows,naive_MAPE,naive_std,prophet_MAPE,prophet_std,arima_MAPE,arima_std,arima_orders,seconds
7,United States,15,10.76,7.31,7.64,5.65,3.29,1.97,"[(5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 5), (5, 0, 4), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2)]",37.1
7,California,15,9.36,5.62,9.84,8.91,3.51,1.87,"[(4, 1, 2), (4, 1, 2), (4, 1, 2), (5, 1, 4), (5, 1, 4), (2, 1, 5), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3)]",55.6
14,United States,15,11.04,6.73,7.92,6.51,5.12,2.8,"[(5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 5), (5, 0, 4), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2)]",30.0
14,California,15,9.83,5.96,10.89,10.47,5.14,3.19,"[(4, 1, 2), (4, 1, 2), (4, 1, 2), (5, 1, 4), (5, 1, 4), (2, 1, 5), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3)]",56.7
30,United States,15,11.5,7.1,7.9,7.08,7.63,4.48,"[(5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 5), (5, 0, 4), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2)]",40.5
30,California,15,10.25,6.0,11.78,10.18,8.53,5.65,"[(4, 1, 2), (4, 1, 2), (4, 1, 2), (5, 1, 4), (5, 1, 4), (2, 1, 5), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3)]",53.0
90,United States,13,12.14,3.98,8.72,6.62,12.07,5.36,"[(5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 2), (4, 0, 2), (3, 0, 2), (5, 0, 5), (5, 0, 4), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2), (2, 1, 2)]",38.4
90,California,13,10.44,4.13,13.78,8.37,15.08,10.74,"[(4, 1, 2), (4, 1, 2), (4, 1, 2), (5, 1, 4), (5, 1, 4), (2, 1, 5), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3), (2, 1, 3)]",61.3
