series,horizon,error
United States,7,0.31621171575103446
United States,7,0.1705032895792229
United States,7,0.41301510359706306
United States,7,0.26696158549805915
United States,7,0.04329409356410352
United States,7,0.012681019361327373
United States,7,0.0369350730792366
United States,7,0.599579176417194
United States,7,0.5019406197258363
United States,7,0.8177184392554153
United States,7,0.9422902707004663
United States,7,1.0123554758910434
United States,7,0.9572972437514604
United States,7,1.2765754275850458
United States,7,0.6384244819622182
United States,7,0.5496119646810147
United States,7,0.500383648547194
United States,7,0.5164298004281545
United States,7,0.5720626761756407
United States,7,0.3073420995634155
United States,7,-0.023739256833913203
United States,7,0.11770852729612002
United States,7,0.2624613380656733
United States,7,0.5352391003138237
United States,7,0.26469714983144854
United States,7,-0.29401173952475723
United States,7,0.09727278777988779
United States,7,0.0833708678479983
United States,7,0.5437977443168895
United States,7,0.09472570241322753
United States,7,-0.7003136234582676
United States,7,-0.13828223440822907
United States,7,-0.16003839221650473
United States,7,-0.04550510225024329
United States,7,0.08762238623023944
United States,7,-0.3804224627606452
United States,7,-0.055535009379431344
United States,7,0.08231788325090683
United States,7,0.17248426422826135
United States,7,0.34565178162642596
United States,7,0.3759595217818923
United States,7,-0.15126403907147257
United States,7,0.33198831271154106
United States,7,0.1542119482287596
United States,7,0.2505819831857039
United States,7,0.14211002941741135
United States,7,-0.3088646202703593
United States,7,-0.4712522115165303
United States,7,-0.08351711079071578
United States,7,0.06770252262462861
United States,7,0.3235418405185282
United States,7,-0.041953399805731095
United States,7,-0.09952786799463631
United States,7,-0.14696454202136167
United States,7,0.08594848072280037
United States,7,0.17421245722346512
United States,7,0.06294798645329891
United States,7,0.09021735248086316
United States,7,0.30061795606540365
United States,7,0.4080297358382641
United States,7,0.33848532568777756
United States,7,0.18530037421109036
United States,7,-0.023692534954445676
United States,7,1.6127676081946127
United States,7,1.8015892249754195
United States,7,1.9204314381338836
United States,7,2.1774241256858264
United States,7,2.3985922614895774
United States,7,3.0111076871670726
United States,7,4.0017566181087005
United States,7,-0.920873135595901
United States,7,-0.9861589905065458
United States,7,-1.167456146600868
United States,7,-1.0323468075455953
United States,7,-0.9022419426442134
United States,7,-0.8032859120217974
United States,7,-0.8230950053952686
United States,7,-0.8219143690785984
United States,7,-0.3983188279808978
United States,7,0.2977159608374933
United States,7,0.5473589605242104
United States,7,0.8716431027249136
United States,7,0.782519790181512
United States,7,0.7273262523405108
United States,7,-0.459911384775479
United States,7,-0.6521109510391447
United States,7,-0.7310523662785755
United States,7,-0.8427892173008278
United States,7,-0.7687059342724663
United States,7,-0.8213196399635194
