series,horizon,error
United States,7,0.009988317342191522
United States,7,-0.046959412742969775
United States,7,0.06188906531139082
United States,7,-0.22670527163433185
United States,7,-0.5076470487481419
United States,7,-0.42262738150886925
United States,7,-0.5501115048295873
United States,7,-0.026372628113163543
United States,7,-0.16566405093617576
United States,7,0.017063799353788767
United States,7,0.28364164721778806
United States,7,0.3591624947671974
United States,7,0.28065456882187867
United States,7,0.6755313500351399
United States,7,0.3542483845504609
United States,7,0.4018657328979405
United States,7,0.4751575575853568
United States,7,0.4016644086164778
United States,7,0.42124460301231537
United States,7,0.2996897105302736
United States,7,0.022775571974801068
United States,7,0.33103326957441936
United States,7,0.3519136534752949
United States,7,0.5196146929536702
United States,7,0.4317622981213045
United States,7,-0.059058935674446644
United States,7,0.07240393945695978
United States,7,0.21441867409970428
United States,7,0.08084698533963497
United States,7,-0.2092543980415993
United States,7,-0.8828239522548511
United States,7,-0.594851095083726
United States,7,-0.5364517282228229
United States,7,-0.22118019098294628
United States,7,-0.12935663954177912
United States,7,-0.37285376354264876
United States,7,-0.32126828255576
United States,7,-0.06163346075044629
United States,7,0.2624544330555185
United States,7,0.4229409118358234
United States,7,0.3787829573277399
United States,7,0.05856734221376847
United States,7,-0.020051472307113016
United States,7,-0.10697017918389662
United States,7,-0.17474644626988045
United States,7,-0.24541828428255386
United States,7,-0.21566196285067107
United States,7,-0.30302907376723276
United States,7,-0.47603775123422665
United States,7,-0.1509699789628236
United States,7,0.17065776751506334
United States,7,0.036744696190595505
United States,7,-0.04237307747257546
United States,7,-0.07023048290443157
United States,7,-0.27594755241285895
United States,7,-0.21912698170334188
United States,7,-0.3648469450585914
United States,7,-0.38235019405552784
United States,7,-0.39504497814809447
United States,7,-0.39007974888084895
United States,7,-0.36144447641968114
United States,7,-0.5960888611440271
United States,7,-0.908334227269826
United States,7,-0.10424754703982764
United States,7,0.19480000120599072
United States,7,0.25049163289548027
United States,7,0.3759009522558454
United States,7,0.6533887546377031
United States,7,1.3607409763062748
United States,7,2.321082682685283
United States,7,-0.8731867483687807
United States,7,-1.2606842428104947
United States,7,-1.204857864762447
United States,7,-1.4578325649423487
United States,7,-1.86168880868561
United States,7,-1.6547392466850201
United States,7,-1.48382659118227
United States,7,0.17698463980769752
United States,7,0.5548371376425347
United States,7,1.0145150546738577
United States,7,1.0774117247225306
United States,7,1.4691522459733015
United States,7,1.161243421495593
United States,7,0.8497877618709282
United States,7,0.03494801932530933
United States,7,-0.19999987612725256
United States,7,-0.16375348603244255
United States,7,-0.3472341467564508
United States,7,-0.2974401104373978
United States,7,-0.22826739316383282
United States,7,-0.41340414437927464
United States,7,0.09766139479876479
United States,7,0.24397577485174793
United States,7,0.2885400347720495
United States,7,0.3875518923457637
United States,7,0.12122101820787279
United States,7,-0.12252379899931576
United States,7,0.025968370461477264
United States,7,0.04142227953134636
United States,7,0.01951898851528533
United States,7,-0.04147414867554744
United States,7,-0.3520743905232333
United States,7,-0.008919507935173598
United States,7,-0.14595042910204548
United States,7,0.13618978270767101
United States,14,0.009988317342191522
United States,14,-0.046959412742969775
United States,14,0.06188906531139082
United States,14,-0.22670527163433185
United States,14,-0.5076470487481419
United States,14,-0.42262738150886925
United States,14,-0.5501115048295873
United States,14,-0.29830500920303393
United States,14,-0.24342229938949522
United States,14,-0.20274233154110632
United States,14,-0.42644082486418355
United States,14,-0.33845044416212566
United States,14,-0.2952996919567603
United States,14,-0.2928084036570464
United States,14,-0.026372628113163543
United States,14,-0.16566405093617576
United States,14,0.017063799353788767
United States,14,0.28364164721778806
United States,14,0.3591624947671974
United States,14,0.28065456882187867
United States,14,0.6755313500351399
United States,14,0.4472695846033812
United States,14,0.27398920123077986
United States,14,0.67242395019864
United States,14,0.6093823165619199
United States,14,0.7368411121438214
United States,14,0.9638992622622702
United States,14,1.1905708636557275
United States,14,0.3542483845504609
United States,14,0.4018657328979405
United States,14,0.4751575575853568
United States,14,0.4016644086164778
United States,14,0.42124460301231537
United States,14,0.2996897105302736
United States,14,0.022775571974801068
United States,14,0.3581411373860153
United States,14,0.5414044239707074
United States,14,0.8745669121109003
United States,14,0.8444635015934239
United States,14,0.9409931313874722
United States,14,0.7823621158605629
United States,14,0.414857222374291
United States,14,0.33103326957441936
United States,14,0.3519136534752949
United States,14,0.5196146929536702
United States,14,0.4317622981213045
United States,14,-0.05905893567444487
United States,14,0.07240393945695978
United States,14,0.21441867409970428
United States,14,0.5274074535214925
United States,14,0.7157081985738207
United States,14,0.7692663572481573
United States,14,0.4864508360100457
United States,14,0.09075259779769063
United States,14,0.2230969867250323
United States,14,0.2575635125469091
United States,14,0.08084698533963497
United States,14,-0.2092543980415993
United States,14,-0.8828239522548511
United States,14,-0.594851095083726
United States,14,-0.5364517282228229
United States,14,-0.22118019098294717
United States,14,-0.12935663954177912
United States,14,-0.18486028200146443
United States,14,-0.6317783096966041
United States,14,-1.0772104324794283
United States,14,-0.8204314110188937
United States,14,-0.6659310375081153
United States,14,-0.46274211523249065
United States,14,-0.3383917373409462
United States,14,-0.37285376354264876
United States,14,-0.32126828255576
United States,14,-0.06163346075044629
United States,14,0.2624544330555185
United States,14,0.4229409118358216
United States,14,0.3787829573277399
United States,14,0.058567342213770246
United States,14,-0.179529782653999
United States,14,0.315992823097897
United States,14,0.6009875535636162
United States,14,0.9323042977815224
United States,14,1.2076343918687886
United States,14,0.9787376112268955
United States,14,0.5709053601887852
